Date,Open,High,Low,Close,Adj Close,Volume
2017-05-29,1934.660034,1945.819946,1931.449951,1940.770020,1940.770020,0
2017-05-30,1938.060059,1939.739990,1927.280029,1932.910034,1932.910034,0
2017-05-31,1934.030029,1936.650024,1893.390015,1900.380005,1900.380005,0
2017-06-01,1900.890015,1904.819946,1862.599976,1869.660034,1869.660034,0
2017-06-02,1868.750000,1881.969971,1849.569946,1881.869995,1881.869995,0
2017-06-05,1882.829956,1894.500000,1871.290039,1877.689941,1877.689941,0
2017-06-06,1877.359985,1882.939941,1867.880005,1870.040039,1870.040039,0
2017-06-07,1870.689941,1889.449951,1867.969971,1868.420044,1868.420044,0
2017-06-08,1869.489990,1874.449951,1851.630005,1874.209961,1874.209961,0
2017-06-09,1873.260010,1888.920044,1866.300049,1883.339966,1883.339966,0
2017-06-13,1871.069946,1871.290039,1857.260010,1861.270020,1861.270020,0
2017-06-14,1861.500000,1862.300049,1834.510010,1838.319946,1838.319946,0
2017-06-15,1833.420044,1833.420044,1774.560059,1817.819946,1817.819946,0
2017-06-16,1818.869995,1833.699951,1811.449951,1822.910034,1822.910034,0
2017-06-19,1820.829956,1851.699951,1820.109985,1849.780029,1849.780029,0
2017-06-20,1850.380005,1870.560059,1846.699951,1857.959961,1857.959961,0
2017-06-21,1858.239990,1861.030029,1844.060059,1850.810059,1850.810059,0
2017-06-22,1842.619995,1863.420044,1836.020020,1860.050049,1860.050049,0
2017-06-23,1859.630005,1876.359985,1850.219971,1867.459961,1867.459961,0
2017-06-26,1870.329956,1880.109985,1857.030029,1860.390015,1860.390015,0
2017-06-27,1857.239990,1884.410034,1849.420044,1878.939941,1878.939941,0
2017-06-28,1877.040039,1893.650024,1864.880005,1891.979980,1891.979980,0
2017-06-29,1896.119995,1902.800049,1877.130005,1881.040039,1881.040039,0
2017-06-30,1879.160034,1895.979980,1877.569946,1879.500000,1879.500000,0
2017-07-03,1886.719971,1902.589966,1881.979980,1902.589966,1902.589966,0
2017-07-04,1902.640015,1919.229980,1899.170044,1917.400024,1917.400024,0
2017-07-05,1917.359985,1924.530029,1912.310059,1921.380005,1921.380005,0
2017-07-06,1920.589966,1929.430054,1911.959961,1923.219971,1923.219971,0
2017-07-07,1906.719971,1914.290039,1897.869995,1912.479980,1912.479980,0
2017-07-10,1912.760010,1928.099976,1908.989990,1925.739990,1925.739990,0
2017-07-11,1927.339966,1938.109985,1919.189941,1937.640015,1937.640015,0
2017-07-12,1938.359985,1957.020020,1938.359985,1954.390015,1954.390015,0
2017-07-13,1951.660034,1963.369995,1946.609985,1959.910034,1959.910034,0
2017-07-14,1959.859985,1967.599976,1955.089966,1960.689941,1960.689941,0
2017-07-17,1963.290039,1972.489990,1949.550049,1959.109985,1959.109985,0
2017-07-18,1956.560059,1966.859985,1944.810059,1947.709961,1947.709961,0
2017-07-19,1929.670044,1951.890015,1925.699951,1951.890015,1951.890015,0
2017-07-20,1952.099976,1959.329956,1941.380005,1946.510010,1946.510010,0
2017-07-21,1946.189941,1946.189941,1921.000000,1925.130005,1925.130005,0
2017-07-24,1921.520020,1934.250000,1914.599976,1931.750000,1931.750000,0
2017-07-25,1931.920044,1936.250000,1913.239990,1923.729980,1923.729980,0
2017-07-26,1928.130005,1938.560059,1923.900024,1933.099976,1933.099976,0
2017-07-27,1935.119995,1945.119995,1935.119995,1945.119995,1945.119995,0
2017-07-28,1940.790039,1940.790039,1904.260010,1916.750000,1916.750000,0
2017-07-31,1917.339966,1930.270020,1904.560059,1919.530029,1919.530029,0
2017-08-01,1924.770020,1948.619995,1924.770020,1940.140015,1940.140015,0
2017-08-02,1940.949951,1966.969971,1940.770020,1965.479980,1965.479980,0
2017-08-03,1965.560059,1976.359985,1961.380005,1965.290039,1965.290039,0
2017-08-04,1962.459961,1962.459961,1950.569946,1953.489990,1953.489990,0
2017-08-07,1953.619995,1970.959961,1953.619995,1970.369995,1970.369995,0
2017-08-08,1970.300049,1989.770020,1969.750000,1989.609985,1989.609985,0
2017-08-09,1985.310059,1987.949951,1973.079956,1975.910034,1975.910034,0
2017-08-10,1977.150024,1983.739990,1959.050049,1960.229980,1960.229980,0
2017-08-11,1953.560059,1953.560059,1933.689941,1944.829956,1944.829956,0
2017-08-14,1947.689941,1960.380005,1946.670044,1951.750000,1951.750000,0
2017-08-15,1950.420044,1952.599976,1938.579956,1950.280029,1950.280029,0
2017-08-16,1952.109985,1957.619995,1941.069946,1942.880005,1942.880005,0
2017-08-17,1941.550049,1947.949951,1936.949951,1941.520020,1941.520020,0
2017-08-18,1937.510010,1937.510010,1921.339966,1930.709961,1930.709961,0
2017-08-21,1932.250000,1943.780029,1932.250000,1937.660034,1937.660034,0
2017-08-22,1939.949951,1948.280029,1938.900024,1947.400024,1947.400024,0
2017-08-23,1947.770020,1958.579956,1944.300049,1958.520020,1958.520020,0
2017-08-24,1958.829956,1973.500000,1958.829956,1973.500000,1973.500000,0
2017-08-25,1973.439941,1981.790039,1973.390015,1979.140015,1979.140015,0
2017-08-28,1978.790039,1987.229980,1972.760010,1987.150024,1987.150024,0
2017-08-29,1986.099976,1989.119995,1967.109985,1989.119995,1989.119995,0
2017-08-30,1993.000000,2009.290039,1988.780029,2008.880005,2008.880005,0
2017-08-31,2006.069946,2030.859985,2001.660034,2022.219971,2022.219971,0
2017-09-01,2021.930054,2030.369995,2008.489990,2010.979980,2010.979980,0
2017-09-04,2005.079956,2012.290039,1999.839966,2003.319946,2003.319946,0
2017-09-05,2005.229980,2014.030029,1995.939941,2004.020020,2004.020020,0
2017-09-06,2001.969971,2015.630005,1992.680054,2014.599976,2014.599976,0
2017-09-07,2017.520020,2025.369995,2010.170044,2010.170044,2010.170044,0
2017-09-08,2010.550049,2037.479980,2010.550049,2032.750000,2032.750000,0
2017-09-11,2038.780029,2049.070068,2032.920044,2044.130005,2044.130005,0
2017-09-12,2045.849976,2059.959961,2044.069946,2058.800049,2058.800049,0
2017-09-13,2059.399902,2072.959961,2054.189941,2054.189941,2054.189941,0
2017-09-14,2054.659912,2055.929932,2036.219971,2052.250000,2052.250000,0
2017-09-15,2051.469971,2061.600098,2041.280029,2053.810059,2053.810059,0
2017-09-18,2055.409912,2062.750000,2053.600098,2059.080078,2059.080078,0
2017-09-19,2057.360107,2059.159912,2046.609985,2048.989990,2048.989990,0
2017-09-20,2048.860107,2058.080078,2044.229980,2057.530029,2057.530029,0
2017-09-21,2056.270020,2066.409912,2051.679932,2060.239990,2060.239990,0
2017-09-22,2059.010010,2059.010010,2046.349976,2051.629883,2051.629883,0
2017-09-25,2050.520020,2070.820068,2046.010010,2069.110107,2069.110107,0
2017-09-26,2071.620117,2086.649902,2070.489990,2071.129883,2071.129883,0
2017-09-27,2072.270020,2085.139893,2065.790039,2081.120117,2081.120117,0
2017-09-28,2080.729980,2084.389893,2068.540039,2071.639893,2071.639893,0
2017-09-29,2071.330078,2077.280029,2068.389893,2077.189941,2077.189941,0
2017-10-02,2077.159912,2083.429932,2072.719971,2075.719971,2075.719971,0
2017-10-03,2076.530029,2084.030029,2072.830078,2076.810059,2076.810059,0
2017-10-04,2076.500000,2080.050049,2068.729980,2077.090088,2077.090088,0
2017-10-05,2076.780029,2088.639893,2071.189941,2088.320068,2088.320068,0
2017-10-06,2089.389893,2103.050049,2089.389893,2093.860107,2093.860107,0
2017-10-09,2094.159912,2100.290039,2086.739990,2096.290039,2096.290039,0
2017-10-10,2096.350098,2096.350098,2084.489990,2086.909912,2086.909912,0
2017-10-11,2087.469971,2103.290039,2087.070068,2101.070068,2101.070068,0
2017-10-12,2101.330078,2101.330078,2090.860107,2094.959961,2094.959961,0
2017-10-13,2094.939941,2105.639893,2092.399902,2098.770020,2098.770020,0
2017-10-16,2102.250000,2106.389893,2098.070068,2106.389893,2106.389893,0
2017-10-17,2105.739990,2106.489990,2086.409912,2092.570068,2092.570068,0
2017-10-18,2091.399902,2101.350098,2086.449951,2094.399902,2094.399902,0
2017-10-19,2094.560059,2099.659912,2071.600098,2072.729980,2072.729980,0
2017-10-20,2076.290039,2079.639893,2067.909912,2071.830078,2071.830078,0
2017-10-23,2073.550049,2078.590088,2060.429932,2063.810059,2063.810059,0
2017-10-24,2064.070068,2066.209961,2057.689941,2061.790039,2061.790039,0
2017-10-25,2063.199951,2073.439941,2048.780029,2049.479980,2049.479980,0
2017-10-26,2049.659912,2053.530029,2038.260010,2046.689941,2046.689941,0
2017-10-27,2050.350098,2068.760010,2050.350098,2068.760010,2068.760010,0
2017-10-30,2069.449951,2076.959961,2064.739990,2065.250000,2065.250000,0
2017-10-31,2066.100098,2079.280029,2064.310059,2064.310059,2064.310059,0
2017-11-01,2070.679932,2089.830078,2068.260010,2082.729980,2082.729980,0
2017-11-02,2080.530029,2080.530029,2065.689941,2073.040039,2073.040039,0
2017-11-03,2073.169922,2096.040039,2073.169922,2081.149902,2081.149902,0
2017-11-07,2092.780029,2155.550049,2092.780029,2155.550049,2155.550049,0
2017-11-08,2155.209961,2178.419922,2144.979980,2163.010010,2163.010010,0
2017-11-09,2162.000000,2183.610107,2156.479980,2183.610107,2183.610107,0
2017-11-10,2184.639893,2190.560059,2166.679932,2169.260010,2169.260010,0
2017-11-13,2169.850098,2191.709961,2167.629883,2167.629883,2167.629883,0
2017-11-14,2166.110107,2185.560059,2166.110107,2166.830078,2166.830078,0
2017-11-15,2159.830078,2162.409912,2131.750000,2131.750000,2131.750000,0
2017-11-16,2135.179932,2147.830078,2112.199951,2132.649902,2132.649902,0
2017-11-17,2135.580078,2139.429932,2127.949951,2131.909912,2131.909912,0
2017-11-20,2132.399902,2139.909912,2123.760010,2130.389893,2130.389893,0
2017-11-21,2132.500000,2155.820068,2132.500000,2155.820068,2155.820068,0
2017-11-22,2158.330078,2168.010010,2151.300049,2160.159912,2160.159912,0
2017-11-23,2159.879883,2160.639893,2143.060059,2148.560059,2148.560059,0
2017-11-24,2148.590088,2163.610107,2144.620117,2161.169922,2161.169922,0
2017-11-27,2159.020020,2164.320068,2139.120117,2145.870117,2145.870117,0
2017-11-28,2144.530029,2149.449951,2126.060059,2149.449951,2149.449951,0
2017-11-29,2148.949951,2150.879883,2120.239990,2124.080078,2124.080078,0
2017-11-30,2121.929932,2123.179932,2092.199951,2100.620117,2100.620117,0
2017-12-01,2102.540039,2109.330078,2091.889893,2105.989990,2105.989990,0
2017-12-04,2104.899902,2123.080078,2087.370117,2119.419922,2119.419922,0
2017-12-05,2117.699951,2117.699951,2099.770020,2113.689941,2113.689941,0
2017-12-06,2110.800049,2126.159912,2102.899902,2124.120117,2124.120117,0
2017-12-07,2120.800049,2120.830078,2100.870117,2103.149902,2103.149902,0
2017-12-08,2106.379883,2118.709961,2097.290039,2104.989990,2104.989990,0
2017-12-11,2104.620117,2148.600098,2104.620117,2148.600098,2148.600098,0
2017-12-12,2151.959961,2160.750000,2142.060059,2160.750000,2160.750000,0
2017-12-13,2152.389893,2158.250000,2127.100098,2131.939941,2131.939941,0
2017-12-14,2132.540039,2152.409912,2127.739990,2152.409912,2152.409912,0
2017-12-15,2151.229980,2151.229980,2135.850098,2143.989990,2143.989990,0
2017-12-18,2144.919922,2155.919922,2122.050049,2134.580078,2134.580078,0
2017-12-19,2133.929932,2139.270020,2112.989990,2118.159912,2118.159912,0
2017-12-20,2116.969971,2120.570068,2101.929932,2102.969971,2102.969971,0
2017-12-21,2101.229980,2103.620117,2082.290039,2093.379883,2093.379883,0
2017-12-22,2095.560059,2109.439941,2089.600098,2102.939941,2102.939941,0
2017-12-25,null,null,null,null,null,null
2017-12-26,2105.510010,2107.479980,2086.610107,2097.030029,2097.030029,0
2017-12-27,2099.090088,2108.739990,2091.939941,2106.169922,2106.169922,0
2017-12-28,2105.979980,2106.250000,2088.669922,2102.889893,2102.889893,0
2017-12-29,2102.810059,2110.899902,2091.929932,2109.739990,2109.739990,0
2018-01-03,2111.239990,2152.969971,2111.239990,2152.969971,2152.969971,0
2018-01-04,2153.870117,2197.600098,2153.870117,2197.600098,2197.600098,0
2018-01-05,2196.689941,2207.409912,2188.350098,2207.409912,2207.409912,0
2018-01-09,2211.399902,2242.870117,2211.399902,2225.389893,2225.389893,0
2018-01-10,2227.330078,2233.629883,2213.770020,2232.270020,2232.270020,0
2018-01-11,2232.189941,2246.820068,2221.610107,2246.449951,2246.449951,0
2018-01-12,2245.699951,2262.379883,2234.419922,2262.379883,2262.379883,0
2018-01-15,2268.010010,2280.169922,2259.659912,2261.530029,2261.530029,0
2018-01-16,2262.090088,2265.639893,2232.919922,2257.889893,2257.889893,0
2018-01-17,2250.709961,2277.889893,2231.699951,2277.889893,2277.889893,0
